Russian
Идти.
Привет.
Бегать!
Бегать.
ВОЗ?
Ух ты!
Ты отвратительный.
Ты аморален.
Ты влюблен.
Вы приглашены.
Ты завидуешь.
Ты шутишь!
Ты мой босс.
Ты мой герой.
Ты нервничаешь.
Ты бесполезен.
Ты не Бог.
Ты не Том.
Ты не толстый.
Ты не старый.
Ты никто.
Вы вовремя.
Вы терпеливы.
Ты идеальный.
Вы предусмотрительны.
Ты в восторге.
Вы расслаблены.
Ты эгоистичен.
Ты улыбаешься.
Ты так добр.
Ты так поздно.
Ты такой ленивый.
Ты такой злой.
Ты так хороша.
Ты такой любопытный.
Ты такой грубый.
Ты такой сексуальный.
Ты такой высокий.
Ты особенный.
Вы тактичны.
Ты слишком большой.
Ты слишком стар.
Вы в ловушке.
Тебе не повезло.
Ты необычный.
Ты бесполезен.
Ты богат.
Пожалуйста.
Вы побеждаете.
Ты волнуешься.
Ты ранен.
Вы изменились.
Вы сделали это!
Ваше время вышло.
Твоя жена ушла.
У тебя хуже.
3 раза по 5 будет 15.
Тома ужалила пчела.
Лодка перевернулась.
Кобра укусила Тома.
Лошадь укусила Тома.
Мужчина должен работать.
Раздался выстрел.
Примерно в какое время?
Ведите себя как взрослые.
Поправьте галстук.
Разве это не мило?
Все присутствуют.
Все молчали.
Я пленник?
Я здесь один?
Я тебе надоедаю?
Я когда-нибудь ошибался?
Я свободен идти?
Я настолько страшен?
Я понял?
Какие-либо предложения?
Любой может попробовать.
Здесь есть кто-нибудь?
Кто-нибудь тебя видел?
Любой подойдет.
Напитки бесплатны?
Реальны ли призраки?
Мои уши красные?
Это ваши?
Они фиолетовые?
Это ваши?
Мы уже закончили?
Мы закончили?
Готовы ли мы?
Теперь мы в безопасности?
Мы уже в безопасности?
"Ты в порядке, Том?"
Ты призрак?
Вы модель?
Ты что дебил?
Вы все злитесь?
Вы обеспокоены?
Ты дома?
Ты на работе?
Ты уверен?
Вы довольны?
Вы врачи?
Ты одет?
Вы завидуете?
Вы взволнованы?
Вы привередливы?
Вы друзья?
"Ребята, вы в порядке?"
Ты здоров?
Ты влюблен?
Вам больно?
Вы застрахованы?
Ты ревнуешь?
Вы шутите?
Ты живешь?
Вы ищете?
Ты женат?
Ты нервничаешь?
Вам больше 18?
Вы популярны?
Вы благоразумны?
Вы связаны?
Вы расслаблены?
Вы на пенсии?
Ты серьезно?
Вы искренни?
Вы сестры?
Ты улыбаешься?
Ты хочешь пить?
Вы недовольны?
Вам не повезло?
Вы богаты?
Ты выигрываешь?
Ты со мной?
Ты с нами?
Вы работаете?
Ты ранен?
Разве мы не собираемся?
Ты не занят?
Тебе не холодно?
Ты еще не закончил?
Разве ты не рад?
Ты не опоздал?
Разве ты не богат?
Вы не уверены?
Лучше спроси Тома.
Попросите Тома помочь.
Попросите Тома спеть.
Попроси Тома остаться.
Спрашивай о чем угодно!
Спроси меня завтра.
Шары круглые.
"Будь осторожен, Том."
Радуйся за меня.
Будь добрее к Тому.
"Молчите, девочки."
Будь очень осторожен.
Пчелы делают мед.
Веди себя хорошо.
Преклони колени.
Стиснуть зубы.
Черный тебе идет.
Вскипятите немного воды.
Мальчики глупые.
Возьмите с собой Тома.
Приведите его ко мне.
Принеси мне мою сумку.
Принеси мне мою шляпу.
Принеси это сюда.
Приведи свою жену.
Расчесывайте волосы.
Купите Тому выпить.
Звони мне в любое время.
Позвони мне в 2:30.
Позвони мне сегодня вечером.
Позвони моему мужу.
Позвонить доктору.
Вызовите полицию!
Вызовите полицию.
Могу ли я себе это позволить?
Могу ли я это одолжить?
Могу я взять с собой Тома?
Могу ли я приехать за?
Могу ли я завести собаку?
Можно мне немного?
Могу ли я получить это?
Могу ли я оставить это себе?
Могу ли я уйти сейчас?
Могу ли я заказать сейчас?
Можно ли здесь припарковаться?
Можно ли оплатить позже?
Могу ли я процитировать вас?
Могу я там посидеть?
Могу ли я остаться здесь?
Могу ли я остаться?
Могу ли я присоединиться к вам?
Могу ли я доверять Тому?
Могу я доверять тебе?
Могу я это примерить?
Могу ли я работать здесь?
Сможет ли Том сделать это?
Сможет ли Том сделать это?
Том тоже может пойти?
Может ли Том нам помочь?
Кто-нибудь может помочь?
Могут ли птицы чувствовать запахи?
Можно ли это исправить?
Могут ли они меня увидеть?
Могут ли они нас увидеть?
Можем ли мы съесть это?
Можем ли мы это исправить?
Можем ли мы вам помочь?
Можем ли мы это доказать?
Сможем ли мы спасти Тома?
Можем ли мы посидеть здесь?
Можем ли мы использовать это?
Вы можете быть уверены?
Можете ли вы дышать?
Сможешь ли ты это сделать?
Можешь так сделать?
Ты можешь почувствовать это?
Сможете ли вы найти это?
Ты тоже можешь пойти?
Ты слышишь это?
Ты слышишь меня?
Вы нас слышите?
Вы можете помочь мне?
Вы можете нам помочь?
Можете ли вы переместить его?
Можете ли вы открыть его?
Можешь прочитать это?
Ты видишь Тома?
Можешь ли ты показать мне?
Ты можешь заткнуться?
Ты умеешь свистеть?
Я не могу войти?
Мы не можем пойти сейчас?
Разве ты не можешь это сделать?
Увидимся позже.
Кошки ловят мышей.
Кошки любят коробки.
Изменения пугают.
Проверьте свой список.
Убери свою комнату.
Подстригите ногти.
Закройте эту дверь.
Закройте люк.
Закройте вашу книгу.
Закрой глаза.
Приходите скорее снова.
Приходите ко мне.
Прийти вниз.
"Приходите, если можете."
Заходите уже.
Давай сюда.
"Заходи, Том."
Поднимитесь сюда.
"Давай, Том."
Приди и забери меня.
Пришел поговорить со мной.
"Давай, сядь рядом со мной."
Поздравляем!
Сможете ли вы это сделать?
Сосчитайте до тридцати.
Закройте уши.
Закройте глаза.
Прикройте ноги.
Вороны черные.
"Прекрати, Том."
Защити себя.
Я напугал тебя?
Том одобрил?
Том признался?
Том сделал это?
Том сделал это?
Том нашел это?
Том пошел домой?
Том тоже ушел?
Том ударил тебя?
Том знал это?
Тому понравилось?
Том выглядел нормально?
Том успел?
Том протестовал?
Том ответил?
Том сказал кто?
"Том сказал, почему?"
Том сказал да?
Том тебя видел?
Тому удалось?
Кому-то было интересно?
Кто-нибудь пришёл?
Кто-нибудь пел?
Он туда ходил?
Он это сказал?
Ей понравилось?
Кто-то умер?
Они купили это?
Они пострадали?
Ты спросил Тома?
Ты звал меня?
Ты сделал это?
Ты сделал это?
Ты уронил это?
Ты нашел это?
Ты промок?
Ты тоже пошёл?
Вы это слышали?
Ты меня слышал?
Ты ударил Тома?
Тебе понравилось?
Я тебе понравился?
Ты меня любишь?
Ты сделал это?
Вы пропустили меня?
Я тебе был нужен?
Ты толкнул его?
Вы это читали?
Ты сказал да?
Ты видел Тома?
Вы подписали это?
Вы подали в суд на Тома?
Ты взял это?
Разве Том не пел?
Разве ты не знал?
Ты не пел?
Выкопайте глубокую яму.
Обед готов.
Ужин в шесть.
Мне нужно идти?
Нужен ли мне галстук?
Делайте это осторожно.
Сделайте это прямо сейчас.
У нас есть рис?
У нас есть время?
"Делай то, что он говорит."
"Делать то, что вы можете."
Ты винишь меня?
Вы не согласны?
Вы сомневаетесь в этом?
Вы едите говядину?
Вы едите яйца?
Вы едите рыбу?
Ты ешь мясо?
Вы едите свинину?
Вы едите телятину?
Вам плохо?
Вы чувствуете себя старым?
У тебя есть один?
Ты помогаешь Тому?
Ты знаешь Тома?
Ты знаешь ее?
Ты его знаешь?
Ты знаешь как?
Ты знаешь почему?
Тебе нравится Том?
Вам нравится рэп?
Ты любишь чай?
Вы любите Тома?
Вы ее любите?
Ты скучаешь по Тому?
Ты помнишь?
Вы это видите?
Вы их видите?
Вы видите это?
Ты так думаешь?
Ты мне доверяешь?
Ты хочешь его?
Ты смотришь телевизор?
Я ему нравлюсь?
Выглядит нормально?
Существует ли любовь?
Это считается?
Это считается?
Разве это не работает?
Не извиняйтесь.
Не отступай.
Не отступайте.
Не будь ребенком.
Не будь дураком.
Не будьте снобом.
Не будьте абсурдом.
Не бойтесь.
Не дайте себя обмануть.
Не будьте жадными.
Не бойтесь.
Не будь таким застенчивым.
Не скупитесь.
Не будь глупым.
Не предавай меня.
Не вини Тома.
Не беспокой меня.
Не обманывайте его.
Не возвращайся.
Не приходи сюда.
Не следуй за мной.
Не забывайте об этом.
Не забывай меня.
Не забывайте нас.
Не волнуйся.
Не напивайтесь.
Не расстраивайтесь.
Не оскорбляй меня.
Не вмешивайся.
Не перебивайте.
Не позволяй этому уйти.
Не лги мне.
Не лгите нам.
Не оглядывайся назад.
Не смотри вниз.
Не теряйте надежды.
Не веди себя плохо.
Не путайте меня.
Не открывай это.
Не переусердствуйте.
Не паркуйтесь здесь.
Не играйте глупо!
Не играйте здесь.
Не напоминай мне.
Не сопротивляйтесь нам.
Не рискуйте.
Не стреляйте в Тома.
Не стреляйте в него.
Не пойте здесь.
Пока не начинайте.
Не останавливайтесь здесь.
Не купайтесь здесь.
Не принимай это.
Не дразни Тома.
Не лгите.
Не говорите им.
Не верь Тому.
Не доверяйте ему.
Не жди здесь.
Вы не согласны?
Удвойте дозу.
Нарисуй мне овцу.
Выпей что-нибудь.
Пей свое молоко.
Ведите осторожно.
Ешьте медленнее.
Приятного аппетита.
Наслаждайтесь пребыванием.
Даже я умею петь.
Даже Том улыбнулся.
Даже Том ждал.
Все хлопают.
Все знают.
Все согласились.
Все согласны.
Все мечтают.
Все посмотрели.
Все молились.
Все улыбнулись.
Все ждали.
Все заняты.
Все мертвы.
Все в порядке.
Все здесь.
Все больны.
Все хорошо.
Простите за беспорядок.
Не ожидают милости.
Отправьте это Тому по факсу.
Принеси мне мою шляпу.
Найти решение.
Найди мне стакан.
Сложите полотенца.
Сложите карту.
Следуй за этой машиной.
Забудь об этом.
Лягушки едят мух.
"Забавно, не так ли?"
Садитесь в лодку.
Приведите мне врача.
Наймите мне адвоката.
Принеси мне мои таблетки.
Принеси мне немного льда.
Возьми мой ящик с инструментами.
Слезь с моей спины.
Убирайся отсюда.
Убирайся из города.
Избавься от них.
Передай сообщение Тому.
Девочки сумасшедшие.
Позвони Тому.
Поцелуй Тома.
Подарите ей куклу.
Дайте ему крутиться.
Дать им.
Дайте мне толчок.
Дай мне пончик.
Дайте мне подъемник.
Дай мне свет.
Дай мне ложку.
Дай мне полотенце.
Дай мне час.
Дай мне мое пиво.
Дай мне мою трость.
Дай мне пистолет.
Дай мне ключ.
Дай мне карту.
Дай мне микрофон.
Дай мне ручку.
Дай это мне.
Дайте им денег.
Дай их мне.
Дайте нам передохнуть.
Иди и найди Тома.
Иди и помоги Тому.
Иди и скажи Тому.
Возвращайся к работе.
Иди сделай что-нибудь.
Иди скорее домой.
Иди приготовь попкорн.
"Давай, садись."
Сходите к врачу.
Идти в магазин.
"Иди работай, Том."
Иди в свою комнату.
Иди на свое место.
Иди подожди снаружи.
Бог послал знак.
Золото – это металл.
"Спокойной ночи, Том."
"Отлично, не так ли?"
Зеленый цвет тебе идет.
Ребята глупые.
Дай мне полотенце.
Том приехал?
Он уже пришел?
Разве Том не ушел?
Возьмите пончик.
Хорошего дня.
Хорошего дня!
Хорошего дня.
Пожалейте меня.
Пожалейте нас.
Съешь пиццу.
Он действует быстро.
Он прибыл поздно.
Он начал плакать.
Он начал бежать.
Он предал тебя.
Он купил машину.
Он купил шляпу.
Он пришел на рассвете.
Он прибежал.
Он может быстро бегать.
Он не может быть болен.
Он явно лгал.
"Он сделал все, что мог."
Он выполнил свой долг.
Он сделал это снова.
Он не пришел.
Он делает это быстро.
Он выпил пиво.
Он много пьет.
Он чувствовал себя как дома.
Он оставил надежду.
Он встает в 7.
Он лег в постель.
Он понял меня неправильно.
Он получил мяч.
Он очень разозлился.
На нем были джинсы.
У него не было денег.
Он почти не работает.
У него Тойота.
У него есть камера.
На нем шляпа.
У него есть ракетка.
У него плохие глаза.
Он сошел с ума.
Он вышел.
У него нет денег.
У него десять коров.
У него две машины.
У него две кошки.
У него две собаки.
Он попал в цель.
Он эфиоп.
Он плохой мальчик.
Он мечтатель.
Он художник.
Он хитрый лис.
Он студент.
Он учитель.
Его там нет.
Он не молод.
Он сегодня выходной.
Он в ударе.
Он не женат.
Он очень быстрый.
Он очень добрый.
Он очень высокий.
Ему хорошо платят.
Он только что прибыл.
Он продолжал петь.
Он продолжал говорить.
Он охотно лгал.
Ему нравится футбол.
Он любит сладости.
Ему нравятся тигры.
Ему нравится бегать.
Он осмотрелся.
Он выглядел молодо.
Он выглядит мрачным.
Он выглядит сильным.
Он любит кофе.
Он любит футбол.
Он любит поезда.
Он сделал робота.
Он заставил ее плакать.
Он заставил меня петь.
Он может быть там.
Он упомянул об этом.
"Он, должно быть, мертв."
Ему нужно такси.
Он кивнул мне.
Он играет в футбол.
Он читает по-арабски.
Он ничего не сказал.
Он спас нас всех.
Он увидел девушку.
Он кажется честным.
"Кажется, он голоден."
Он продает виски.
Он уставился на меня.
Он склонен лгать.
Он легко утомляется.
Он идет медленно.
Он обманывал.
Он был в агонии.
Он был невиновен.
Он был возмущен.
Он говорил.
Он стоял.
Он был очень веселым.
Он был очень стар.
Он помахал ей рукой.
Он пошел на рыбалку.
Он отправился в Нару.
Он тоже пойдет.
Он выживет.
Он носил очки.
Он пишет книги.
Он скоро придет.
Он плохой лжец.
Он большой лжец.
Он комик.
Он садовник.
Он хороший мальчик.
Он хороший парень.
Он хороший парень.
Он новичок.
Он пацифист.
Он слабак.
Он настоящий мужчина.
Он медлительный.
Он левша.
Он антисоциален.
Он мертвецки пьян.
Он смертельно устал.
Он лысеет.
Он помогает мне.
Он ее друг.
Он в беде.
Он добр ко мне.
Он мой брат.
Он мой муж.
Он мой партнер.
Он не герой.
Он не лжец.
Его еще нет.
Он едет.
Ему за сорок.
У него паралич нижних конечностей.
Он очень зол.
Он очень робкий.
Он проснулся.
Гелий – это газ.
Помогите Тому и мне.
Помогите мне поднять его.
"Помоги мне, пожалуйста."
"Помогите нам, пожалуйста."
Ее лицо просветлело.
Ее отец умер.
Волосы у нее сухие.
Вот я снова.
Вот карта.
Вот мой альбом.
Вот счет.
Вот книга.
Вот файл.
Вот утечка.
Вот молоко.
Вот план.
Вот твоя сумка.
Вот твоя собака.
Вот твой ключ.
Вот твоя кружка.
"Вот, возьми это."
"Вот, примерь."
"Вот, попробуйте это."
"Эй, я могу помочь."
"Эй, могу я помочь?"
"Эй, посмотри на меня."
Привет. Я знаю тебя.
Привет! Как вы?
Привет. Как вы?
Его зовут Том.
Его сын болен.
Его слово – закон.
Поднимите паруса!
Держи меня крепче.
"Подождите, пожалуйста."
Держите свечу.
"Дорогая, я дома."
Лошади бегут быстро.
Как насчет 12:45?
Как авантюрно!
Как ваши дела?
Как ты сейчас?
Какой ты большой!
Как Тому победить?
Как это может быть?
Как это может быть?
Как мы можем помочь?
Как мы можем ждать?
Как Том поступил?
Как умер Том?
Как Том победил?
Как это сработало?
Как они справились?
Как нам начать?
Как мы делаем это?
Как вы себя чувствуете?
Откуда вы знаете?
Как унизительно!
Как интересно!
Вам понравилась еда?
Как твой папа?
Как мило с твоей стороны!
Насколько он велик?
Как мы можем помочь?
Сколько это стоило?
Как мило с твоей стороны!
Сколько тебе лет?
Насколько богат Том?
Как грубо с твоей стороны!
Как глупо с моей стороны!
Насколько он маленький?
Какой рост у Тома?
Какой высоты она?
Как это было сделано?
Как пирог?
Как у нас дела?
Как дела у Тома?
Как все?
Как вода?
Как твоя простуда?
Как твоя нога?
Как твое колено?
Как твоя жена?
"Поторопитесь, девочки."
Гипноз работает.
У меня все болит.
Я ничего не признаю.
Я согласен полностью.
Я почти сделал это.
Я почти забыл.
Я японец.
Я холостяк.
Я хороший мальчик.
Я бедный человек.
Я репортер.
Я смертельно устал.
Я дремлю.
Я из Испании.
Я из Токио.
Я в беде.
Я не боюсь.
Я не ем.
Я раздеваюсь.
Я очень устал.
Я ценю это.
Я приехал рано.
Я приехал первым.
"Я спросил Тома, почему."
Я спросил Тома.
Я пригласил ее на свидание.
Я съел все это.
Я съел апельсин.
Я съел яблоко.
Я съел салат.
Я испекла печенье.
Я начал бежать.
Я начал работать.
Я в это верю.
Я в это верил.
Я прикусил язык.
Я винил себя.
Я взял себя в руки.
Я разбил стакан.
Я разбил чашку.
Я нарушил закон.
Я принес пирог.
Я позвонил Тому.
Я вызвал такси.
Я позвонил ей.
Я позвонил ему.
Я позвонил сыну.
Я приехал на поезде.
Я пришел первым.
Я пришел подготовленным.
Я пришел слишком поздно.
Я пришел с Томом.
Я могу позволить себе это.
Я могу вернуться.
Я тоже могу прийти.
Я могу сделать это сейчас.
Я могу отвезти тебя.
Я могу их найти.
Я могу с этим справиться.
Я могу им помочь.
Я могу справиться с этим.
Я вижу дым.
Я умею хорошо петь.
Я тоже умею петь.
Я умею быстро плавать.
Я умею хорошо плавать.
Я могу доверять Тому.
Я могу подождать здесь.
Я могу пойти домой.
Я не могу опоздать.
Я не могу этого вынести.
Я не могу дышать.
Я не могу этого отрицать.
Я еще не могу умереть.
Я мало что могу сделать.
Я не могу этого сделать.
Я не могу этого сделать.
Я не могу есть сейчас.
Я не могу объяснить.
Я не могу его найти.
Я не могу сдаться.
Я не могу вернуться.
Я не могу пойти домой.
Я не слышу этого.
Я ничего не могу с этим поделать.
Я не могу это сохранить.
Я не могу тебе этого позволить.
Я не могу заплатить Тому.
Я не могу заплатить тебе.
Я не могу тебя видеть.
Я не умею свистеть.
Я простудился.
Я поймал рыбу!
Я проверил дважды.
Я решил подождать.
Я связался с Томом.
Я готовлю на газу.
Я приготовил ужин.
Я мог бы быть следующим.
Я могу сделать это.
Я мог умереть.
Я не мог остановиться.
Я не мог идти.
Я плачу каждый день.
Я порезал палец.
Я езжу на работу на велосипеде.
Я решил пойти.
Я это заслужил.
Я все равно это сделал.
Я сам это сделал.
Я сделал это однажды.
Я не ел это.
Я не забыл.
Я не слушал.
Я не заметил.
Я не возражал.
Я этого не говорил.
Я не кричал.
Я этого не видел.
Я не повиновался Тому.
Я не повиновался тебе.
Я делаю это часто.
Я же понимаю.
Я этого не отрицаю.
Я мало что делаю.
Я этого не делаю.
Я не ем ветчину.
Я тебя не понимаю.
Мне это не нравится.
Я не против.
Мне это не нужно.
Я не вижу Тома.
Я его не вижу.
"Я не понимаю, как это сделать."
"Я не понимаю, почему."
Я не вижу тебя.
Я не хочу этого.
Я скачал его.
Я вожу грузовик.
Я езжу на работу.
Я вел машину.
Я поехал на работу.
Я много ем вне дома.
Я люблю читать.
Мне нравится бегать.
Мне нравится ходить.
Я избежал смерти.
Я рассчитываю на победу.
Я ожидал большего.
Я ожидал этого.
Я кормил коз.
Я покормил лошадь.
Я чувствую себя преданным.
Меня лихорадит.
Я чувствую себя беспомощным.
Я чувствую его боль.
Я скучаю по дому.
Я чувствую себя ужасно.
Я чувствую себя неуверенно.
Меня тошнит.
Я чувствую облегчение.
Теперь я чувствую себя в безопасности.
Мне так одиноко.
Я чувствую себя ужасно.
Я чувствую то же самое.
Я чувствую себя очень плохо.
Мне очень грустно.
Сейчас я чувствую себя хорошо.
Я чувствовал себя преданным.
Я чувствовал себя беспомощным.
Я скучал по дому.
Я чувствовал себя обделенным.
Я почувствовал облегчение.
Я чувствовал себя ужасно.
Мне было очень грустно.
Я финишировал последним.
Я забыл свою сумку.
Я забыл свой ключ.
Я забыл свою ручку.
Забыл спросить.
Я нашел свой велосипед.
Я нашел свою книгу.
Я нашел кота.
Я дал Тому 300 долларов.
Я дал это Тому.
Я понимаю ее точку зрения.
Я понимаю суть.
Я встаю в шесть.
Я хожу каждый год.
Меня избили.
Я впал в депрессию.
Я не получил ответа.
Я преодолел это.
Я женился повторно.
Я избавился от этого.
Я получил деньги.
Я разделся.
Я встал в шесть.
Я очень заболел.
Вскоре я поправился.
Я получил твою записку.
Я получил твое сообщение.
Я выращиваю помидоры.
"Думаю, я согласен."
Я угадал правильно.
У меня был плохой день.
У меня случился припадок.
У меня было четыре туза.
У меня были сомнения.
У меня не было выбора.
У меня не было сомнений.
У меня был один ребенок.
На мне были шорты.
Мне помогли.
Они оба у меня были.
Мне пришлось уйти в отставку.
Мне пришлось чихнуть.
Я ненавижу брокколи!
Я ненавижу брокколи.
Я ненавижу детей.
Я ненавижу всех.
Я ненавижу фанатиков.
Я ненавижу футбол.
Я ненавижу похороны.
Я ненавижу прощания.
Я ненавижу домашнее задание.
Я ненавижу свой дом.
Я ненавижу свой голос.
Я ненавижу политику.
Я ненавижу рептилий.
Я ненавижу шопинг.
Я ненавижу изучения.
Я ненавижу этого кота.
Я ненавижу холод.
Я ненавижу жару.
Я ненавижу дождь.
Я ненавижу их всех.
Я ненавижу эту работу.
Я ненавижу этот ковер.
Я ненавижу помидоры.
Я ненавижу свадьбы.
Я ненавижу выходные.
Я ненавижу вас обоих.
У меня синяк.
У меня есть камера.
У меня есть выбор.
У меня есть осел.
У меня есть семья.
У меня есть сад.
У меня есть гитара.
У меня есть ноутбук.
У меня есть адвокат.
У меня есть минутка.
У меня есть карандаш.
У меня есть друг по переписке.
У меня есть секрет.
У меня есть сестра.
У меня есть татуировка.
У меня есть теория.
У меня есть билет.
У меня есть веб-камера.
У меня есть алиби.
У меня есть яблоко.
У меня язва.
У меня плохие новости.
У меня большие уши.
У меня большие глаза.
У меня большие губы.
У меня есть братья.
У меня есть дети.
У меня перхоть.
У меня диабет.
У меня сухая кожа.
У меня есть доказательства.
Я закончил.
У меня есть веснушки.
У меня есть домашнее задание.
У меня есть иммунитет.
У меня бессонница.
У меня нет алиби.
Мне нет равных.
У меня нет температуры.
У меня нет лошади.
У меня нет планов.
У меня нет доказательств.
У меня нет соперника.
У меня есть еще один.
У меня рыжие волосы.
Я вернулся.
У меня есть десять ручек.
У меня есть ключи.
У меня есть список.
Теперь у меня есть время.
Я должен согласиться.
Я должен сделать это.
Я должен бороться.
Мне нужно спешить!
Мне нужно спешить.
Я должен уйти.
Мне нужно спать.
Мне нужно учиться.
Мне надо подумать.
У меня две машины.
У меня две кошки.
У меня две работы.
У меня два сына.
У меня есть твой ключ.
Я не ел.
Я не спал.
Я не пробовал.
Я слышу смех.
Я слышу барабан.
Я слышал шум.
Я услышал звук.
Я тоже это слышал.
Я услышал крики.
Я помог Тому подняться.
Я нанял гида.
Я снова ударил Тома.
Я сбил машину Тома.
"Я надеюсь, что Том победит."
"Я надеюсь, что это помогает."
"Я надеюсь, что пойдет дождь."
Надеюсь это работает.
"Надеюсь, ты поешь."
Я повредил локоть.
Я намерен попробовать.
Я бегаю каждый день.
Я только что закончил.
Я только что нашел это.
Я только что пришел домой.
Я просто слушал.
Я просто скучаю по тебе.
Я только что переехал.
Я только что сказал Тому.
Я только что сказал ему.
Я продолжаю чихать.
Я продолжал подниматься.
Я продолжал бороться.
Я хорошо знал Тома.
Я знал об этом.
Я все это знал.
Я знал слишком много.
"Я знал, что мы победим."
"Я знал, что ты знаешь."
Я постучал еще раз.
"Я знаю, что я ленив."
"Я знаю, что я в безопасности."
"Я знаю, что Том умер."
"Я знаю, что Том солгал."
Я хорошо знаю Тома.
Я тоже знаю Тома.
Я все это знаю.
Я все это знаю.
Я знаю ее имя.
Я ее хорошо знаю.
Я знаю его имя.
"Я знаю, это больно."
"Я знаю, что это Том."
"Я знаю, что это плохо."
"Я знаю, что это ты."
Я знаю этого парня.
Теперь я знаю это.
Я знаю этот район.
Я знаю девушку.
Я знаю эту песню.
Я знаю их всех.
Я знаю слишком много.
Я знаю кто я.
"Я знаю, ты знаешь."
"Я знаю, что ты солгал."
Я знаю твоего сына.
Я много смеялся.
Я снова засмеялся.
Я громко рассмеялся.
Я лежал на своей кровати.
Я многому научился.
Я вышел из комнаты.
Я позволил Тому вести машину.
Я солгал об этом.
Мне нравятся абрикосы.
Мне нравятся мультфильмы.
Я люблю детей.
Мне нравится футбол.
Мне это очень нравится.
Мне нравится лакросс.
Мне нравится солодка.
Я люблю мой дом.
Мне нравятся старые машины.
Я люблю картофель.
Я люблю красное мясо.
Мне нравится красное вино.
Мне нравятся рыжие.
Мне нравится спать.
Я люблю плавать.
Мне нравится преподавать.
Мне нравится эта собака.
Мне нравится эта работа.
Мне нравится этот.
Мне нравится этот галстук.
Мне нравится холод.
Мне нравится жара.
Мне нравится идея.
Мне нравится вид.
Все они мне нравятся.
Мне нравится эта чашка.
Мне нравится эта собака.
Мне нравится эта шляпа.
Мне нравится эта работа.
Мне нравится этот.
Мне нравится этот чай.
Я люблю спорить.
Мне нравится танцевать.
Мне нравится мечтать.
Мне нравится смеяться.
Ты мне тоже нравишься.
Мне нравится твоя машина.
Мне нравится твой кот.
Мне нравится твоя собака.
Мне нравится твоя шляпа.
Мне нравится твой галстук.
Мне тоже понравилось.
Мне нравилось рисовать.
Я слушаю Тома.
Я зажег печь.
Я живу экономно.
Я живу здесь сейчас.
Я живу рядом с тобой.
Я живу с Томом.
Я похож на Тома.
Я посмотрел на Тома.
Я заглянул внутрь.
Я потерял интерес.
Я потерял свои деньги.
Я потерял свой телефон.
Я потерял кошелек.
Я потерял часы.
Я проиграл эту ставку.
Я проиграл.
Я проиграл гонку.
Я люблю бейсбол.
Я люблю брокколи.
Я люблю детей.
Я люблю комедии.
Я люблю раков.
Я люблю баклажаны.
Я люблю футбол.
Я люблю хот-доги.
Я люблю учиться.
Я люблю мой дом.
Я люблю картошку.
Я люблю преподавать.
Мне нравится эта идея.
Я люблю дождь.
Я люблю эту машину.
Я люблю эту собаку.
Я люблю эту работу.
Я люблю танцевать.
Я люблю водить машину.
Я люблю вечеринки.
Я люблю спать.
Я люблю помидоры.
Я люблю свадьбы.
Я люблю вестерны.
Я люблю вас обоих.
"Я люблю тебя, Том."
Я тоже тебя люблю.
Я люблю твоего сына.
Я заставил Тома петь.
Я заставил Тома ждать.
Я сделал разворот.
Я произнес речь.
Я сделал это.
Я заключил сделку.
Я приготовил нам обед.
Я вышла замуж молодой.
Я могу вернуться.
"Возможно, мне понадобится помощь."
"Возможно, я еще выиграю."
Я не имел в виду никакого вреда.
Я хотел позвонить.
Я встретил там Тома.
Я встретил Тома сегодня.
Я встретил ее снова.
Я недооценил тебя.
Я тоже скучаю по Тому.
Я скучаю по всему этому.
Я скучаю по армии.
"Я скучаю по вам, ребята."
"Я скучаю по тебе, Том."
Я тоже по тебе скучаю.
Я пропустил ужин.
Я неправильно понял.
"Я, должно быть, пьян."
Я должен идти.
Я должен быть там.
Я должен продолжать.
Я должен найти Тома.
Я должен это выяснить.
Я должен идти один.
Я должен пойти туда.
Я должен ей помочь.
Я должен помочь тебе.
Я должен встретиться с Томом.
Я должен подчиняться Тому.
Я должен сказать Тому.
Я должен предупредить Тома.
Я должен его предупредить.
Мне нужен Интернет.
Мне нужен Том здесь.
Мне нужно ведро.
Мне нужны перемены.
Мне нужен врач.
Мне нужен друг.
Мне нужен шлем.
Мне нужна лестница.
Мне нужен ноутбук.
Мне нужен адвокат.
Мне нужен маркер.
Мне нужна минутка.
Мне нужен карандаш.
Мне нужен душ.
Мне нужен билет.
Мне нужно оружие.
Мне нужен кофеин.
Мне нужны доказательства.
Мне нужно руководство.
Мне нужна помощь сейчас.
Мне нужна его помощь.
Мне нужно его имя.
Мне это очень нужно.
Мне это нужно сегодня.
Мне нужны мои ботинки.
Мне нужны мои таблетки.
Мне нужен сон.
Мне нужен мой меч.
Мне нужен еще один.
Мне нужны ножницы.
Мне нужно немного чая.
Мне нужен кто-нибудь.
Мне нужны ключи.
Мне нужна работа.
Мне нужна эта работа.
Мне нужен этот.
Мне нужно проверить.
Мне нужно сосредоточиться.
Мне нужно войти.
Мне нужно поторопиться.
Мне нужно уйти.
Мне нужно расслабиться.
Мне нужно побриться.
Мне нужно поспать.
Мне нужно учиться.
Ты мне нужен здесь.
"Ты мне нужен, Том."
Мне нужна твоя машина.
Мне нужна была ванна.
Мне нужно было поесть.
Я никогда этого не делаю.
Я никогда не сдаюсь.
Я никогда не бил Тома.
Я никогда не встречал Тома.
